id,asx_code,order_type,buy,price,quantity,orderid,orderdate
19,GAL,0,1,94.5,1249,691D4141003F8D5C,"2022-05-25 06:51:45"
20,GAL,0,1,94,5000,691D4141003FE12F,"2022-05-25 06:51:45"
21,GAL,0,1,93.5,10000,691D41410040472C,"2022-05-25 06:51:45"
22,GAL,0,1,93.5,5000,691D414100404F15,"2022-05-25 06:51:45"
23,GAL,0,1,93,41345,691D4141003E05E2,"2022-05-25 06:51:45"
24,GAL,0,1,93,5000,691D4141003F7651,"2022-05-25 06:51:45"
25,GAL,0,1,92.5,17000,691D4141003EE3CA,"2022-05-25 06:51:45"
26,GAL,0,1,92,3000,691D4141003D206D,"2022-05-25 06:51:45"
27,GAL,0,1,92,10000,691D4141003FEB9B,"2022-05-25 06:51:45"
28,GAL,0,1,92,608,691D4141004041C9,"2022-05-25 06:51:45"
29,GAL,0,1,91.5,16999,691D4141003535FE,"2022-05-25 06:51:45"
30,GAL,0,1,91.5,5000,691D4141003C4858,"2022-05-25 06:51:45"
31,GAL,0,1,91.5,1000,691D4141003E92B5,"2022-05-25 06:51:45"
32,GAL,0,1,91,2197,691D4141003127EC,"2022-05-25 06:51:45"
33,GAL,0,1,91,324,691D414100361303,"2022-05-25 06:51:45"
34,GAL,0,1,91,3500,691D4141003A5958,"2022-05-25 06:51:45"
35,GAL,0,1,90.5,5000,691D414100311635,"2022-05-25 06:51:45"
36,GAL,0,1,90.5,10000,691D4141003C06A8,"2022-05-25 06:51:45"
37,GAL,0,1,90,4000,6917A0C10004B1EB,"2022-05-25 06:51:45"
38,GAL,0,1,90,3000,6913678100030466,"2022-05-25 06:51:45"
39,GAL,0,1,90,1000,6917A0C1001AF2E5,"2022-05-25 06:51:45"
40,GAL,0,1,90,2222,6917A0C100254962,"2022-05-25 06:51:45"
41,GAL,0,1,90,1000,691D41410003267B,"2022-05-25 06:51:45"
42,GAL,0,1,90,600,691D414100033615,"2022-05-25 06:51:45"
43,GAL,0,1,90,1000,691D4141002B3064,"2022-05-25 06:51:45"
