id,asx_code,opening_price,higest_price,lowest_price,last_price,yesterday_closeprice,cumulative_volume,cumulative_value,best_bid_price,best_ask_price,number_of_trades,time_of_trade,security_status,best_bid_quantity,best_ask_quantity,number_of_buyers,number_of_sellers
2001,MTO,244,248,241,248,245,20194,49439,241,248,17,155346,8,4000,659,1,1
2002,MTS,0,0,0,0,0,0,0,0,0,0,,0,9337,0,10,0
2003,MTSGN8,4.5,4.5,4.5,4.5,0,1000,4500,0,0,1,104305,12,0,0,0,0
2004,MTSGU8,13,13,13,13,0,40,520,0,0,1,124305,12,0,0,0,0
2005,MTSJ48,2.5,5,2.5,3,2.5,205,778,0,0,3,112904,12,0,0,0,0
2006,MTSUQ8,36,36,36,36,0,50,1800,0,0,1,124303,12,0,0,0,0
2007,MTSV18,7.5,7.5,7.5,7.5,9,80,600,0,0,1,140916,12,0,0,0,0
2008,MVA,0,0,0,0,0,0,0,2235,2241,0,,0,5750,0,2,1
2009,MVB,0,0,0,0,0,0,0,3114,0,0,,0,0,5000,0,1
2010,MVE,0,0,0,0,0,0,0,0,3535,0,,0,0,1000,0,1
2011,MVF,0,0,0,0,0,0,0,107.5,0,0,,0,2846,0,4,0
2012,MVL,4,4.3,3.9,4.1,4,216488,8844,3.9,4.1,12,155156,4,229343,19000,3,1
2013,MVOL,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2014,MVP,0,0,0,0,0,0,0,0,0,0,,0,0,797,0,2
2015,MVR,0,0,0,0,0,0,0,3541,0,0,,0,0,0,0,0
2016,MVS,2025,2025,2025,2025,2030,42,851,0,2209,1,152153,8,0,682,0,1
2017,MVTHA,9822,9870,9820,9870,9822,226,22197,9442,9870,4,155048,4,300,1010,1,2
2018,MVW,0,0,0,0,0,0,0,3309,0,0,,0,0,0,0,0
2019,MWY,96,96,95,95,98,7188,6832,95,100,6,134957,8,2500,40322,1,1
2020,MX1,0,0,0,0,0,0,0,0,16.5,0,,0,0,38000,0,1
2021,MXC,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
