id,asx_code,last_price,quantity,time_of_trade,sequence_number,internal_seq_number
491,BKW,2119,1,100642,10016993,48741
492,WOW,3443,41567,164430,40649782,1835522
493,WOW,3443,42534,164431,40649782,1835522
494,WHC,520,99961,164431,40649782,1835522
495,WAF,126.5,14488,164431,40649782,1835522
496,VEA,284,28405,164431,40649782,1835522
497,UMG,381,1908,164431,40649782,1835522
498,TNE,1024,6963,164431,40649782,1835522
499,TPG,584,16304,164431,40649782,1835522
500,SYR,0,0,000000,40649782,1835522
501,SYR,182.5,132366,164431,40649782,1835522
502,SVW,0,0,000000,10501287,1835556
503,SUL,933,8569,164431,40649782,1835522
504,SLR,155.5,53176,164431,40649782,1835522
505,SLR,155.5,116854,164431,40649782,1835522
506,TAH,105.5,1654252,164431,40649782,1835522
507,SHL,3652,4738,164432,40649782,1835522
508,SGM,1779,10260,164432,40649782,1835522
509,SFR,544,9065,164432,40649782,1835522
510,SEK,2435,4032,164432,40649782,1835522
511,SCP,299,14585,164432,40649782,1835522
512,S32,468,1105545,164432,40649782,1835522
513,RMS,139.5,22,100646,40013279,50032
514,RMS,139.5,22,100646,40013279,50032
515,RMS,139.5,22,100646,40013279,50032
516,REH,1504,110,100646,10017924,51033
517,REA,10913,239,100646,40013279,50032
518,QBE,1234,189,100646,30009453,49269
519,PPT,3193,2,100646,30009495,49503
520,OZL,0,0,000000,40013401,50312
521,PMV,2222,6,100646,20009557,49737
522,OZL,0,0,000000,40013401,50312
523,ORI,1586,26,100646,10017724,50536
524,ORG,0,0,000000,40649782,1835522
525,ORG,675,10837,164432,40649782,1835522
526,NWL,1265,40,100646,30009495,49503
527,NST,900,1,100646,40013563,50827
528,NHF,726,3000,100646,40013563,50827
529,NCM,2530,1997,100646,40013563,50827
530,MTS,0,0,000000,10016062,46517
531,MQG,17828,17,100646,40013563,50827
532,MPL,321,249,100612,40012040,44733
533,MP1,724,1,100623,40012361,46003
534,MP1,724,1,100623,40012361,46003
535,MIN,6173,9,100643,10017137,48984
536,LYC,947,414,100643,10017137,48984
537,LKE,146.5,471,100631,40012625,47125
538,JLG,0,0,000000,30009247,47712
539,JLG,0,0,000000,30009247,47712
540,JIN,1527,28,100428,10009654,28828
541,IRE,1030,14,100428,10009654,28828
542,IPH,786,1,100502,20006311,32732
543,IMU,20.7,535,100641,10016993,48741
544,IAG,454,13,100628,10016062,46517
545,GUD,0,0,000000,10017137,48984
546,GMA,299,2,100645,30009453,49269
547,EML,0,0,000000,10011883,36030
548,ELD,1454,46,100645,10017137,48984
549,ELD,1454,46,100645,10017137,48984
550,DRR,455,21,100636,20009210,47975
551,DMP,6979,15,100643,10017137,48984
552,DHG,322.5,8,100629,10016062,46517
553,CUV,1610,6,100637,40012848,48195
554,CTD,2167,2,100620,10015763,45773
555,CSL,27273,12,100645,10017137,48984
556,COL,1771,1,100638,40012848,48195
557,CIP,342,154,100503,30006905,33173
558,CKF,960,13,100630,40012625,47125
559,CHC,1329,8,100636,20009210,47975
560,CGC,294,43,100450,40008346,31265
561,CDA,749,39,100640,10016993,48741
562,CCX,231,11,100610,40012040,44733
563,CBA,10581,5,100644,10017137,48984
564,BXB,1116,17,100641,10016993,48741
565,BXB,1116,17,100641,10016993,48741
566,BWP,0,0,000000,20006127,32119
567,BRN,117.5,10000,100642,10016993,48741
568,BPT,162,198,100607,40011932,44410
569,BPT,162,198,100607,40011932,44410
570,BOQ,0,0,000000,30007158,34812
571,BKL,7147,1,100300,30004627,18266
572,BHP,4327,1,100646,40013563,50827
573,BAP,611,10,100645,10017137,48984
574,AUB,1842,2,100358,20003527,20869
575,ASX,8254,22,100644,10017137,48984
576,APX,655,492,100620,10015680,45566
577,ANZ,2539,20,100635,30009247,47712
578,ANZ,2539,20,100635,30009247,47712
579,ALD,3337,7,100644,10017137,48984
580,IFT,736,120,100559,30008744,43208
581,AZJ,397,47,100638,40012848,48195
582,NWS,2403,411,100646,40013563,50827
583,XJOCL7,31.5,2730,165747,30346392,1835551
584,XJOB39,79,1365,165747,30346392,1835551
585,ISO,0,0,000000,30346393,1835552
586,ABP,289,2,100627,10016062,46517
587,WBC,0,0,000000,20338083,1835554
588,STO,817,40360,170620,10501289,1835559
589,FMG,2102,865,100644,10017137,48984
590,IPL,356,933,100645,30009453,49269
591,SIG,0,0,000000,40649793,1835560
592,NUF,508,18,100646,10017724,50536
593,BBUS,1167,1000,100603,20008378,44005
594,ZZA,0.1,81502,173934,10501307,1835579
595,CIA,794,155,100640,10016993,48741
596,AKE,1357,5,100645,10017137,48984
597,CXO,133,1000,100643,10017137,48984
598,NXG,643.1,465000,090511,30000003,17
599,JHG,3759,4,100542,10011883,36030
600,IVV,55830,7,100623,10016062,46517
601,AAA,5008,19,095947,30000735,751
602,PMGOLD,2630,3,094956,30000008,24
603,ETPMPD,26418,23,094947,30000007,23
604,XFL,6977.7,0,100615,10016062,46517
605,XLD,1335.2,0,100615,10016062,46517
606,XRE,3317.8,0,100615,10016062,46517
607,XUJ,8165.4,0,100615,10016062,46517
608,XAE,1362.9,0,100615,10016062,46517
609,XDJ,2873.1,0,100615,10016062,46517
610,XHJ,40672.9,0,100615,10016062,46517
611,XMD,8800.1,0,100615,10016062,46517
612,XSJ,12849.1,0,100615,10016062,46517
613,XVI,16.65,0,044501,30000008,24
614,XAO,7391.4,0,100615,10016062,46517
615,XEJ,9908,0,100615,10016062,46517
616,XIN,466.1,0,100615,10016062,46517
617,XMM,5923.2,0,100615,10016062,46517
618,XSY,1796.4,0,100615,10016062,46517
619,XBN,8935,0,100615,10016062,46517
620,XFJ,6553,0,100615,10016062,46517
621,XJT,84232.6,0,100615,10016062,46517
622,XNV,55,0,100615,10016062,46517
623,XTO,5971.2,0,100615,10016062,46517
624,XDI,1517.1,0,100615,10016062,46517
625,XGD,6401.2,0,100615,10016062,46517
626,XKO,7136.1,0,100615,10016062,46517
627,XPJ,1465.9,0,100615,10016062,46517
628,XTX,2076.5,0,100615,10016062,46517
629,XBT,8947.1,0,100615,10016062,46517
630,XAF,6986.1,0,100615,10016062,46517
631,XEC,2349.8,0,100615,10016062,46517
632,XIJ,1471.3,0,100615,10016062,46517
633,XMJ,17546.9,0,100615,10016062,46517
634,XSO,3040,0,100615,10016062,46517
635,XXJ,7308.8,0,100615,10016062,46517
636,XBK,2729.2,0,100615,10016062,46517
637,XEW,1759.2,0,100615,10016062,46517
638,XJO,7145.9,0,100615,10016062,46517
639,XNT,79417,0,100615,10016062,46517
640,XTJ,1409.9,0,100615,10016062,46517
641,XAT,7132.1,0,100615,10016062,46517
642,XET,3349.5,0,100615,10016062,46517
643,XJR,5755.2,0,100615,10016062,46517
644,XNJ,6504.4,0,100615,10016062,46517
